fid,accident_id,accident_year,accident_outcome,number_of_parties,party_1_object_type,party_1_object_type_other,party_2_object_type,party_2_object_type_other,accident_nature,linking_level,road_situation,built_up_area,speed_limit,road_lighting,road_pavement,road_surface,light_condition,visibility_distance,weather_condition,special_traffic_measure,special_traffic_measure_other,special_infrastructure,special_infrastructure_other,special_temporary_nature,special_temporary_nature_other,junction_id,road_section_id,hectometer,street_name,place_name,current,road_authority,municipality,province,service_area_name,district_name,alcohol_indication,gdb_geometry_attribute_data,geometry
ongevallen_2022_2024.214473,20240072958,2024,property_damage_only,2,light_moped,,bicycle,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,,600566494.0,,Geldropseweg,Eindhoven,False,municipality,Eindhoven,Noord-Brabant,,,,,POINT (163874.96700000018 382277.3729999997)
ongevallen_2022_2024.216221,20240034894,2024,property_damage_only,3,moped,,bicycle,,Flank,Ongeval gekoppeld op straat niveau.,Rechte weg,Binnen,50.0,Brandend,Overig asfalt,Nat,Duisternis,,Regen,,,,FIETSPAD,,,,322167153.0,,Vestdijk,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,Ja,,POINT (161353.20100000128 383589.2349999994)
ongevallen_2022_2024.217120,20240074158,2024,property_damage_only,2,passenger_car,,light_moped,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,322175051.0,,,Borgerhoutlaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161304.57310000062 387907.16970000044)
ongevallen_2022_2024.217247,20240101806,2024,property_damage_only,2,passenger_car,,bicycle,,Frontaal,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,317165024.0,,,Hurksestraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (158627.95850000158 382677.50719999894)
ongevallen_2022_2024.218936,20240137551,2024,property_damage_only,2,moped,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Niet brandend,Overig asfalt,Nat,Daglicht,,Droog,,,,,,,,314171017.0,,Oirschotsedijk,Eindhoven,False,municipality,Eindhoven,Noord-Brabant,,,,,POINT (157747.94799999893 385751.20699999854)
ongevallen_2022_2024.219327,20240002661,2024,injury,1,bicycle,,,,Eenzijdig,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Niet brandend,ZOAB,Nat,Daglicht,,Droog,Andere oversteekplaats,,,,,,,322173006.0,,Franklin D Rooseveltlaan,Eindhoven,False,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161379.59899999946 386765.7430000007)
ongevallen_2022_2024.219936,20240025331,2024,injury,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,Andere oversteekplaats,,,,,,,600485226.0,,Mispelhoefstraat,Eindhoven,False,municipality,Eindhoven,Noord-Brabant,,,,,POINT (157045.2899999991 387323.5210000016)
ongevallen_2022_2024.222770,20240091912,2024,property_damage_only,1,light_moped,,,,Eenzijdig,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,318167239.0,,,Cederlaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159288.80600000173 383988.2520000003)
ongevallen_2022_2024.223011,20240072628,2024,property_damage_only,2,passenger_car,,bicycle,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,Andere oversteekplaats,,,,,,,600603305.0,,Orpheuslaan,Eindhoven,False,municipality,Eindhoven,Noord-Brabant,,,,,POINT (162278.45800000057 385370.27800000086)
ongevallen_2022_2024.223043,20240074197,2024,property_damage_only,4,passenger_car,,light_moped,,Kop/staart,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,,318176001.0,,Maconhof,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159039.98000000045 388205.0320000015)
